Groups,model,RMSD,RMSD_rank,DI,DI_rank,INF_all,INF_all_rank,INF_wc,INF_wc_rank,INF_nwc,INF_nwc_rank,INF_stack,INF_stack_rank,clash,clash_rank,MCQ,MCQ_rank,TM,TM_rank,GDT,GDT_rank,p-value,solution,PZ,complete_name,complete_model,Lddt_score,Lddt_rank,Groups_new
Chen,7,16.367,29,49.185,29,0.333,27,0.0,24,-1.0,15,0.446,29,1.13,17,27.137,84,0.113,30,0.0,1,0.9921,0,PZ16b,PZ16b_Chen_7,PZ16b_Chen_7,0.3247651125686935,25,Others
Chen,9,16.285,28,40.288,25,0.404,25,0.0,24,0.0,12,0.538,24,0.0,1,33.319,87,0.134,28,0.0,1,0.9911,0,PZ16b,PZ16b_Chen_9,PZ16b_Chen_9,0.3487118123264197,24,Others
Chen,8,15.745,26,47.317,28,0.333,27,0.0,24,-1.0,15,0.463,27,0.0,1,34.291,89,0.136,27,0.0,1,0.9808,0,PZ16b,PZ16b_Chen_8,PZ16b_Chen_8,0.319734976068073,27,Others
Chen,10,15.708,25,47.176,27,0.333,27,0.0,24,-1.0,15,0.462,28,0.0,1,37.301,91,0.137,26,0.0,1,0.9798,0,PZ16b,PZ16b_Chen_10,PZ16b_Chen_10,0.283404981386279,30,Others
Chen,6,15.547,24,37.583,24,0.414,24,-1.0,30,0.0,12,0.528,25,1.13,17,37.914,92,0.119,29,0.0,1,0.975,0,PZ16b,PZ16b_Chen_6,PZ16b_Chen_6,0.3238898244992023,26,Others
Chen,3,7.276,23,11.706,22,0.622,15,0.772,22,-1.0,15,0.646,15,2.27,20,24.799,78,0.236,19,0.0,1,0.004204,0,PZ16b,PZ16b_Chen_3,PZ16b_Chen_3,0.4730691957690717,23,Others
Chen,2,7.2,22,12.2,23,0.59,22,0.833,12,-1.0,15,0.578,23,0.0,1,26.118,82,0.221,23,0.0,1,0.003711,0,PZ16b,PZ16b_Chen_2,PZ16b_Chen_2,0.4751226141937009,22,Others
Lee,10,4.876,21,8.359,21,0.583,23,0.775,13,-1.0,15,0.59,22,0.0,1,18.488,57,0.238,18,0.0,1,3.617e-05,0,PZ16b,PZ16b_Lee_10,PZ16b_Lee_10,0.5400490456774804,19,Others
Lee,5,4.708,20,7.263,20,0.648,12,0.775,13,-1.0,15,0.688,12,0.0,1,16.39,40,0.26,11,0.0,1,2.432e-05,0,PZ16b,PZ16b_Lee_5,PZ16b_Lee_5,0.5647048395674525,17,Others
Szachniuk,5,1.682,6,1.883,6,0.893,5,0.913,5,1.0,1,0.865,9,10.22,26,17.29,50,0.314,10,0.0,1,4.656e-09,0,PZ16b,PZ16b_Szachniuk_5,PZ16b_Szachniuk_5,0.813356822076464,7,Others
Szachniuk,2,1.698,7,1.901,7,0.893,5,1.0,1,0.775,6,0.889,5,11.35,27,17.301,52,0.395,8,0.0,1,4.901e-09,0,PZ16b,PZ16b_Szachniuk_2,PZ16b_Szachniuk_2,0.843522868285765,4,Others
Szachniuk,8,1.712,8,1.92,8,0.892,7,0.913,5,0.894,3,0.886,7,9.08,24,15.341,30,0.418,7,0.0,1,5.128e-09,0,PZ16b,PZ16b_Szachniuk_8,PZ16b_Szachniuk_8,0.809541747917036,8,Others
Szachniuk,6,1.812,9,1.995,9,0.908,4,0.913,5,0.894,3,0.91,4,7.95,21,13.461,14,0.453,5,0.0,1,7.099e-09,0,PZ16b,PZ16b_Szachniuk_6,PZ16b_Szachniuk_6,0.8259100041363825,6,Others
Xiao,4,14.791,16,20.596,10,0.718,6,0.819,21,-1.0,1,0.685,4,8.65,17,36.01,34,0.037,19,0.0,1,4.891e-12,0,PZ30,PZ30_Xiao_4,PZ30_Xiao_4,0.605195661341205,3,Others
Ding,5,14.635,15,23.474,19,0.623,32,0.825,17,-1.0,1,0.534,34,12.61,29,25.611,10,0.045,3,0.0,1,2.66e-12,0,PZ30,PZ30_Ding_5,PZ30_Ding_5,0.5476569214098506,26,Others
Bujnicki,4,14.59,14,20.693,11,0.705,7,0.84,10,-1.0,1,0.65,9,131.12,31,26.363,13,0.037,19,0.0,1,2.23e-12,0,PZ30,PZ30_Bujnicki_4,PZ30_Bujnicki_4,0.5766631614346185,13,Others
Ding,1,14.444,13,21.518,16,0.671,21,0.798,25,-1.0,1,0.623,16,10.09,22,23.844,2,0.045,3,0.0,1,1.257e-12,0,PZ30,PZ30_Ding_1,PZ30_Ding_1,0.5908406685207032,7,Others
Ding,2,14.212,12,21.455,14,0.662,24,0.825,17,-1.0,1,0.591,22,12.25,27,23.996,4,0.049,2,0.0,1,4.955e-13,0,PZ30,PZ30_Ding_2,PZ30_Ding_2,0.590047987872253,8,Others
Chen,10,14.079,11,21.696,17,0.649,29,0.837,12,-1.0,1,0.572,28,0.36,6,30.218,28,0.031,33,0.0,1,2.887e-13,0,PZ30,PZ30_Chen_10,PZ30_Chen_10,0.5137558116569427,31,Others
Ding,3,12.813,7,19.477,7,0.658,27,0.829,16,-1.0,1,0.584,25,10.45,23,24.181,5,0.051,1,0.0,1,1.277e-15,0,PZ30,PZ30_Ding_3,PZ30_Ding_3,0.5539943631598332,23,Others
Ding,6,13.307,9,21.1,12,0.631,31,0.802,23,-1.0,1,0.557,33,11.17,26,25.813,11,0.041,8,0.0,1,1.138e-14,0,PZ30,PZ30_Ding_6,PZ30_Ding_6,0.5680317499292726,19,Others
Ding,7,13.082,8,20.401,9,0.641,30,0.825,17,-1.0,1,0.561,32,8.65,17,24.293,7,0.039,16,0.0,1,4.274e-15,0,PZ30,PZ30_Ding_7,PZ30_Ding_7,0.5506968650414489,24,Others
Ding,8,12.566,6,18.244,5,0.689,12,0.825,17,-1.0,1,0.629,15,10.45,23,26.606,15,0.044,5,0.0,1,4.441e-16,0,PZ30,PZ30_Ding_8,PZ30_Ding_8,0.5852198421044204,9,Others
Szachniuk,1,14.874,17,21.468,15,0.693,10,0.851,8,-1.0,1,0.623,16,12.25,27,27.284,17,0.04,12,0.0,1,6.718e-12,0,PZ30,PZ30_Szachniuk_1,PZ30_Szachniuk_1,0.5769740950896504,12,Others
Chen,2,13.828,10,20.057,8,0.689,12,0.813,22,-1.0,1,0.636,14,0.0,1,27.181,16,0.032,32,0.0,1,1.029e-13,0,PZ30,PZ30_Chen_2,PZ30_Chen_2,0.5743371641783078,15,Others
Bujnicki,2,15.096,18,22.026,18,0.685,14,0.786,29,-1.0,1,0.643,12,151.71,34,23.895,3,0.043,6,0.0,1,1.566e-11,0,PZ30,PZ30_Bujnicki_2,PZ30_Bujnicki_2,0.5847821329248047,10,Others
Szachniuk,5,18.423,30,27.452,29,0.671,21,0.882,4,-1.0,1,0.58,27,8.29,16,29.049,23,0.034,26,0.0,1,8.255e-07,0,PZ30,PZ30_Szachniuk_5,PZ30_Szachniuk_5,0.5725396206876304,18,Others
Chen,5,16.059,20,23.488,20,0.684,15,0.905,1,-1.0,1,0.584,25,0.0,1,29.807,27,0.033,30,0.0,1,5.118e-10,0,PZ30,PZ30_Chen_5,PZ30_Chen_5,0.5043050299190238,32,Others
