ares_score,id,rms,file_path,PZ,ares_id
6.6185036,PZ11_Adamiak_10_addH.pdb,0,/home/bufan/projects/20231116_ares_PuzzleV/predicted_models/Puzzles/PZ11/PZ11_Adamiak_10_addH.pdb,PZ11,PZ11_Adamiak_10
6.6012325,PZ11_Adamiak_1_addH.pdb,0,/home/bufan/projects/20231116_ares_PuzzleV/predicted_models/Puzzles/PZ11/PZ11_Adamiak_1_addH.pdb,PZ11,PZ11_Adamiak_1
6.9109435,PZ11_Adamiak_2_addH.pdb,0,/home/bufan/projects/20231116_ares_PuzzleV/predicted_models/Puzzles/PZ11/PZ11_Adamiak_2_addH.pdb,PZ11,PZ11_Adamiak_2
6.0040722,PZ11_Adamiak_3_addH.pdb,0,/home/bufan/projects/20231116_ares_PuzzleV/predicted_models/Puzzles/PZ11/PZ11_Adamiak_3_addH.pdb,PZ11,PZ11_Adamiak_3
6.9624777,PZ11_Adamiak_4_addH.pdb,0,/home/bufan/projects/20231116_ares_PuzzleV/predicted_models/Puzzles/PZ11/PZ11_Adamiak_4_addH.pdb,PZ11,PZ11_Adamiak_4
6.1743913,PZ11_Adamiak_5_addH.pdb,0,/home/bufan/projects/20231116_ares_PuzzleV/predicted_models/Puzzles/PZ11/PZ11_Adamiak_5_addH.pdb,PZ11,PZ11_Adamiak_5
5.9342451,PZ11_Adamiak_6_addH.pdb,0,/home/bufan/projects/20231116_ares_PuzzleV/predicted_models/Puzzles/PZ11/PZ11_Adamiak_6_addH.pdb,PZ11,PZ11_Adamiak_6
6.9432135,PZ11_Adamiak_7_addH.pdb,0,/home/bufan/projects/20231116_ares_PuzzleV/predicted_models/Puzzles/PZ11/PZ11_Adamiak_7_addH.pdb,PZ11,PZ11_Adamiak_7
6.6042218,PZ11_Adamiak_8_addH.pdb,0,/home/bufan/projects/20231116_ares_PuzzleV/predicted_models/Puzzles/PZ11/PZ11_Adamiak_8_addH.pdb,PZ11,PZ11_Adamiak_8
6.494935,PZ11_Adamiak_9_addH.pdb,0,/home/bufan/projects/20231116_ares_PuzzleV/predicted_models/Puzzles/PZ11/PZ11_Adamiak_9_addH.pdb,PZ11,PZ11_Adamiak_9
6.2270908,PZ11_Bujnicki_10_addH.pdb,0,/home/bufan/projects/20231116_ares_PuzzleV/predicted_models/Puzzles/PZ11/PZ11_Bujnicki_10_addH.pdb,PZ11,PZ11_Bujnicki_10
6.2896852,PZ11_Bujnicki_1_addH.pdb,0,/home/bufan/projects/20231116_ares_PuzzleV/predicted_models/Puzzles/PZ11/PZ11_Bujnicki_1_addH.pdb,PZ11,PZ11_Bujnicki_1
7.9425154,PZ11_Bujnicki_2_addH.pdb,0,/home/bufan/projects/20231116_ares_PuzzleV/predicted_models/Puzzles/PZ11/PZ11_Bujnicki_2_addH.pdb,PZ11,PZ11_Bujnicki_2
6.6873317,PZ11_Bujnicki_3_addH.pdb,0,/home/bufan/projects/20231116_ares_PuzzleV/predicted_models/Puzzles/PZ11/PZ11_Bujnicki_3_addH.pdb,PZ11,PZ11_Bujnicki_3
8.1355648,PZ11_Bujnicki_4_addH.pdb,0,/home/bufan/projects/20231116_ares_PuzzleV/predicted_models/Puzzles/PZ11/PZ11_Bujnicki_4_addH.pdb,PZ11,PZ11_Bujnicki_4
6.2487931,PZ11_Bujnicki_5_addH.pdb,0,/home/bufan/projects/20231116_ares_PuzzleV/predicted_models/Puzzles/PZ11/PZ11_Bujnicki_5_addH.pdb,PZ11,PZ11_Bujnicki_5
6.1456647,PZ11_Bujnicki_6_addH.pdb,0,/home/bufan/projects/20231116_ares_PuzzleV/predicted_models/Puzzles/PZ11/PZ11_Bujnicki_6_addH.pdb,PZ11,PZ11_Bujnicki_6
6.44595,PZ11_Bujnicki_7_addH.pdb,0,/home/bufan/projects/20231116_ares_PuzzleV/predicted_models/Puzzles/PZ11/PZ11_Bujnicki_7_addH.pdb,PZ11,PZ11_Bujnicki_7
6.3232737,PZ11_Bujnicki_8_addH.pdb,0,/home/bufan/projects/20231116_ares_PuzzleV/predicted_models/Puzzles/PZ11/PZ11_Bujnicki_8_addH.pdb,PZ11,PZ11_Bujnicki_8
6.5334439,PZ11_Bujnicki_9_addH.pdb,0,/home/bufan/projects/20231116_ares_PuzzleV/predicted_models/Puzzles/PZ11/PZ11_Bujnicki_9_addH.pdb,PZ11,PZ11_Bujnicki_9
6.7739305,PZ11_Chen_10_addH.pdb,0,/home/bufan/projects/20231116_ares_PuzzleV/predicted_models/Puzzles/PZ11/PZ11_Chen_10_addH.pdb,PZ11,PZ11_Chen_10
6.8686862,PZ11_Chen_1_addH.pdb,0,/home/bufan/projects/20231116_ares_PuzzleV/predicted_models/Puzzles/PZ11/PZ11_Chen_1_addH.pdb,PZ11,PZ11_Chen_1
7.322084,PZ11_Chen_2_addH.pdb,0,/home/bufan/projects/20231116_ares_PuzzleV/predicted_models/Puzzles/PZ11/PZ11_Chen_2_addH.pdb,PZ11,PZ11_Chen_2
7.0819755,PZ11_Chen_3_addH.pdb,0,/home/bufan/projects/20231116_ares_PuzzleV/predicted_models/Puzzles/PZ11/PZ11_Chen_3_addH.pdb,PZ11,PZ11_Chen_3
7.3380904,PZ11_Chen_4_addH.pdb,0,/home/bufan/projects/20231116_ares_PuzzleV/predicted_models/Puzzles/PZ11/PZ11_Chen_4_addH.pdb,PZ11,PZ11_Chen_4
7.4880219,PZ11_Chen_5_addH.pdb,0,/home/bufan/projects/20231116_ares_PuzzleV/predicted_models/Puzzles/PZ11/PZ11_Chen_5_addH.pdb,PZ11,PZ11_Chen_5
7.2322879,PZ11_Chen_6_addH.pdb,0,/home/bufan/projects/20231116_ares_PuzzleV/predicted_models/Puzzles/PZ11/PZ11_Chen_6_addH.pdb,PZ11,PZ11_Chen_6
6.9663072,PZ11_Chen_7_addH.pdb,0,/home/bufan/projects/20231116_ares_PuzzleV/predicted_models/Puzzles/PZ11/PZ11_Chen_7_addH.pdb,PZ11,PZ11_Chen_7
7.964932,PZ11_Chen_8_addH.pdb,0,/home/bufan/projects/20231116_ares_PuzzleV/predicted_models/Puzzles/PZ11/PZ11_Chen_8_addH.pdb,PZ11,PZ11_Chen_8
6.8504057,PZ11_Chen_9_addH.pdb,0,/home/bufan/projects/20231116_ares_PuzzleV/predicted_models/Puzzles/PZ11/PZ11_Chen_9_addH.pdb,PZ11,PZ11_Chen_9
