Groups,model,RMSD,RMSD_rank,DI,DI_rank,INF_all,INF_all_rank,INF_wc,INF_wc_rank,INF_nwc,INF_nwc_rank,INF_stack,INF_stack_rank,clash,clash_rank,MCQ,MCQ_rank,TM,TM_rank,GDT,GDT_rank,p-value,solution,PZ,length,Groups_new,length_shift
Chen,1,6.026,8,7.34,6,0.821,7,0.929,19,-1.0,16,0.787,7,1.1,10,26.348,44,0.32,24,0.0,1,5.55e-17,0,PZ11,57,Chen,57.70270464478929
Ding,5,6.348,9,9.202,13,0.69,50,0.769,44,-1.0,16,0.672,52,12.62,47,27.271,47,0.339,14,0.0,1,3.33e-16,0,PZ11,57,Ding,57.988093939703774
Adamiak,5,6.381,10,7.818,9,0.816,9,0.977,9,-1.0,16,0.739,23,6.59,19,25.062,28,0.34,13,0.0,1,3.89e-16,1,PZ11,57,Szachniuk,57.262524473459806
Ding,9,6.748,11,9.242,14,0.73,39,0.798,39,-1.0,16,0.719,34,9.87,31,26.103,40,0.367,5,0.0,1,2.05e-15,0,PZ11,57,Ding,56.71064672223817
Das,10,6.825,12,7.958,10,0.858,2,0.977,9,-1.0,16,0.804,3,10.42,36,22.896,19,0.297,40,0.0,1,2.89e-15,1,PZ11,57,Das,57.29875085203032
Ding,10,6.878,13,9.382,17,0.733,38,0.739,48,-1.0,16,0.75,18,13.71,49,24.359,23,0.273,47,0.0,1,3.66e-15,0,PZ11,57,Ding,57.75917471968718
Adamiak,7,5.724,5,7.026,5,0.815,11,1.0,1,-1.0,16,0.72,33,7.14,21,25.974,39,0.314,32,0.0,1,0.0,1,PZ11,57,Szachniuk,56.17141562853183
Ding,3,6.996,15,9.317,15,0.751,30,0.826,32,-1.0,16,0.731,29,13.17,48,25.749,37,0.318,28,0.0,1,6.11e-15,0,PZ11,57,Ding,56.63428291615701
Adamiak,1,6.992,14,9.343,16,0.748,31,0.763,45,-1.0,16,0.758,16,8.24,25,24.914,27,0.299,39,0.0,1,6e-15,0,PZ11,57,Szachniuk,55.87642842324043
Bujnicki,5,7.574,24,10.47,27,0.723,40,0.773,42,-1.0,16,0.718,35,0.0,1,22.22,14,0.311,36,0.0,1,7.19e-14,0,PZ11,57,Bujnicki,57.19940912196479
Bujnicki,10,7.546,23,11.399,35,0.662,53,0.636,53,-1.0,16,0.69,44,0.0,1,26.164,41,0.303,38,0.0,1,6.42e-14,0,PZ11,57,Bujnicki,56.64495367457807
Adamiak,10,7.407,21,10.534,30,0.703,48,0.773,42,-1.0,16,0.682,47,9.34,29,28.03,48,0.313,34,0.0,1,3.56e-14,0,PZ11,57,Szachniuk,57.18245949258655
Bujnicki,9,7.385,20,9.435,18,0.783,23,0.957,13,-1.0,16,0.711,37,1.1,10,23.871,20,0.323,23,0.0,1,3.25e-14,0,PZ11,57,Bujnicki,56.493731888518845
Adamiak,3,7.409,22,10.517,28,0.705,47,0.744,47,0.0,4,0.709,38,6.59,19,25.442,35,0.439,2,0.0,1,3.6e-14,0,PZ11,57,Szachniuk,56.40466976691141
Adamiak,6,7.333,19,9.882,21,0.742,35,0.906,23,0.0,4,0.694,41,10.98,41,25.771,38,0.336,17,0.0,1,2.6e-14,0,PZ11,57,Szachniuk,57.78987768178998
Ding,8,7.21,18,9.141,12,0.789,22,0.798,39,-1.0,16,0.797,4,9.87,31,25.219,30,0.319,26,0.0,1,1.54e-14,1,PZ11,57,Ding,58.05316757522991
Bujnicki,8,7.142,17,10.409,26,0.686,51,0.727,50,-1.0,16,0.683,45,0.0,1,22.149,13,0.399,3,0.0,1,1.15e-14,0,PZ11,57,Bujnicki,55.79106802685148
Chen,3,7.05,16,8.623,11,0.818,8,0.905,24,-1.0,16,0.793,6,1.1,10,26.738,46,0.319,26,0.0,1,7.77e-15,0,PZ11,57,Chen,56.871304416337516
Ding,4,7.838,25,10.177,23,0.77,27,0.826,32,-1.0,16,0.761,14,9.87,31,24.893,26,0.346,10,0.0,1,2.15e-13,0,PZ11,57,Ding,58.38522831615272
Lee,3,4.711,17,6.367,16,0.74,10,0.816,16,-1.0,15,0.776,6,0.0,1,15.584,22,0.273,11,0.0,1,2.454e-05,0,PZ16a,27,Lee,27.706080281996652
Lee,1,4.605,16,6.458,17,0.713,18,0.816,16,-1.0,15,0.734,17,0.0,1,17.391,40,0.26,15,0.0,1,1.9e-05,0,PZ16a,27,Lee,28.135149267363268
Lee,7,4.558,15,6.329,15,0.72,15,0.775,19,-1.0,15,0.76,11,0.0,1,17.231,37,0.262,13,0.0,1,1.698e-05,0,PZ16a,27,Lee,27.16722839746941
Chen,7,16.867,28,42.87,26,0.393,26,0.0,24,-1.0,15,0.577,26,0.0,1,30.495,78,0.13,25,0.0,1,0.9965,0,PZ16a,27,Chen,25.948462244840833
Chen,6,15.926,27,33.732,25,0.472,25,0.0,24,-1.0,15,0.62,22,1.14,17,37.093,83,0.117,26,0.0,1,0.985,0,PZ16a,27,Chen,26.809301265903848
Chen,8,15.75,26,55.661,27,0.283,27,0.0,24,-1.0,15,0.404,27,0.0,1,33.384,81,0.117,26,0.0,1,0.9809,0,PZ16a,27,Chen,26.565537159491104
Chen,9,15.496,25,56.347,28,0.275,28,0.0,24,0.0,10,0.362,28,0.0,1,35.47,82,0.108,28,0.0,1,0.9733,0,PZ16a,27,Chen,27.728760975477005
Chen,10,15.237,24,32.056,24,0.475,24,0.0,24,-1.0,15,0.613,23,1.14,17,33.128,80,0.172,24,0.0,1,0.9631,0,PZ16a,27,Chen,25.557636825403122
Chen,3,7.344,22,11.419,21,0.643,22,0.913,2,-1.0,15,0.603,24,0.0,1,27.323,76,0.229,20,0.0,1,0.004694,0,PZ16a,27,Chen,27.940394728615566
Chen,4,7.254,21,11.933,23,0.608,23,0.913,2,0.0,10,0.582,25,0.0,1,25.784,72,0.201,23,0.0,1,0.004058,0,PZ16a,27,Chen,26.10807068749572
Lee,8,5.405,20,7.305,19,0.74,10,0.866,14,-1.0,15,0.754,13,0.0,1,17.307,38,0.257,16,0.0,1,0.0001191,0,PZ16a,27,Lee,25.759869523163296
Lee,10,5.383,19,8.305,20,0.648,21,0.816,16,0.0,10,0.66,20,0.0,1,18.43,50,0.222,21,0.0,1,0.0001136,0,PZ16a,27,Lee,28.427332036645566
Lee,5,5.288,18,7.268,18,0.728,13,0.775,19,-1.0,15,0.768,10,0.0,1,15.536,21,0.291,8,0.0,1,9.217e-05,0,PZ16a,27,Lee,27.175859966406417
Lee,9,8.41,23,11.583,22,0.726,14,0.866,14,0.0,10,0.754,13,0.0,1,18.351,49,0.212,22,0.0,1,0.02248,0,PZ16a,27,Lee,28.05306214922766
Szachniuk,3,2.217,5,2.687,4,0.825,4,0.913,2,0.408,4,0.85,3,9.14,20,16.59,30,0.283,9,0.0,1,2.579e-08,0,PZ16a,27,Szachniuk,27.220606296637047
Szachniuk,5,2.209,4,3.251,9,0.679,20,0.913,2,-1.0,15,0.66,20,13.71,26,15.005,15,0.305,5,0.0,1,2.516e-08,0,PZ16a,27,Szachniuk,26.15534182940795
Szachniuk,10,2.041,3,2.65,3,0.77,7,0.913,2,0.408,4,0.776,6,11.43,24,19.081,56,0.326,3,0.0,1,1.482e-08,0,PZ16a,27,Szachniuk,28.0430268480988
Szachniuk,8,1.881,2,2.442,2,0.77,7,0.913,2,0.408,4,0.776,6,17.14,28,17.429,41,0.303,6,0.0,1,8.874e-09,0,PZ16a,27,Szachniuk,26.139023654310204
Chen,1,1.45,1,1.495,1,0.97,1,1.0,1,0.816,1,0.98,1,0.0,1,16.667,32,0.439,1,0.0,1,2.156e-09,0,PZ16a,27,Chen,28.380184778315193
Lee,6,4.416,14,6.303,14,0.701,19,0.775,19,-1.0,15,0.734,17,0.0,1,17.338,39,0.253,17,0.0,1,1.199e-05,0,PZ16a,27,Lee,25.637368845378187
Szachniuk,1,2.258,6,2.862,5,0.789,5,0.913,2,0.667,2,0.776,6,10.29,23,15.711,24,0.261,14,0.0,1,2.931e-08,0,PZ16a,27,Szachniuk,25.789727678066644
Szachniuk,4,2.36,7,2.992,7,0.789,5,0.913,2,0.0,10,0.826,5,11.43,24,16.177,27,0.269,12,0.0,1,4.022e-08,0,PZ16a,27,Szachniuk,26.105968060315774
Szachniuk,2,3.716,12,4.423,11,0.84,3,0.913,2,0.577,3,0.849,4,9.14,20,13.819,10,0.42,2,0.0,1,1.984e-06,0,PZ16a,27,Szachniuk,28.153865220270834
Lee,2,3.551,11,4.931,12,0.72,15,0.775,19,-1.0,15,0.76,11,0.0,1,16.172,26,0.293,7,0.0,1,1.271e-06,0,PZ16a,27,Lee,26.672029881763706
Szachniuk,9,2.813,10,3.774,10,0.745,9,0.913,2,0.408,4,0.742,16,14.86,27,15.022,17,0.235,19,0.0,1,1.573e-07,0,PZ16a,27,Szachniuk,25.866585709379972
Lee,4,3.957,13,5.523,13,0.716,17,0.775,19,-1.0,15,0.751,15,0.0,1,17.014,35,0.249,18,0.0,1,3.749e-06,0,PZ16a,27,Lee,27.65982678982071
Szachniuk,6,2.43,9,2.89,6,0.841,2,0.913,2,0.408,4,0.872,2,9.14,20,14.028,13,0.323,4,0.0,1,4.981e-08,0,PZ16a,27,Szachniuk,25.557449160400964
Szachniuk,7,2.381,8,3.217,8,0.74,10,0.913,2,0.408,4,0.734,17,3.43,19,13.033,6,0.281,10,0.0,1,4.28e-08,0,PZ16a,27,Szachniuk,27.08187727844913
Lee,2,3.948,15,6.411,15,0.616,16,0.775,13,-1.0,15,0.639,16,0.0,1,17.255,49,0.234,20,0.0,1,3.657e-06,0,PZ16b,27,Lee,28.03350150644292
Lee,1,4.018,16,6.523,17,0.616,16,0.775,13,-1.0,15,0.637,18,0.0,1,17.341,54,0.247,14,0.0,1,4.391e-06,0,PZ16b,27,Lee,27.755390501014602
Lee,9,4.042,17,6.455,16,0.626,14,0.739,23,-1.0,15,0.67,14,0.0,1,19.11,65,0.252,12,0.0,1,4.674e-06,0,PZ16b,27,Lee,27.212719617310164
Lee,4,4.236,19,6.549,18,0.647,13,0.775,13,-1.0,15,0.683,13,0.0,1,16.81,44,0.241,17,0.0,1,7.659e-06,0,PZ16b,27,Lee,26.69874614924695
Lee,7,4.056,18,6.584,19,0.616,16,0.775,13,-1.0,15,0.637,18,0.0,1,18.965,60,0.243,16,0.0,1,4.841e-06,0,PZ16b,27,Lee,25.66464199561608
Lee,6,3.803,14,6.285,14,0.605,20,0.775,13,-1.0,15,0.622,20,0.0,1,16.552,41,0.246,15,0.0,1,2.501e-06,0,PZ16b,27,Lee,26.414739069289517
Lee,3,3.591,12,5.935,12,0.605,20,0.775,13,-1.0,15,0.622,20,0.0,1,16.838,46,0.233,21,0.0,1,1.417e-06,0,PZ16b,27,Lee,28.300761276107004
Szachniuk,9,2.759,11,3.274,11,0.843,10,0.913,5,0.894,3,0.813,11,17.03,30,16.773,42,0.23,22,0.0,1,1.34e-07,0,PZ16b,27,Szachniuk,28.350929138808155
Szachniuk,10,2.668,10,3.167,10,0.843,10,0.913,5,0.775,6,0.839,10,11.35,27,13.979,20,0.427,6,0.0,1,1.023e-07,0,PZ16b,27,Szachniuk,27.82180208999342
Lee,8,3.782,13,6.142,13,0.616,16,0.775,13,-1.0,15,0.639,16,0.0,1,18.864,59,0.251,13,0.0,1,2.368e-06,0,PZ16b,27,Lee,27.030866604971898
Chen,4,15.794,27,71.336,30,0.221,30,0.0,24,-1.0,15,0.348,30,0.0,1,33.799,88,0.157,25,0.0,1,0.982,0,PZ16b,27,Chen,28.04692971536061
Chen,5,16.39,30,46.267,26,0.354,26,0.0,24,0.0,12,0.503,26,1.13,17,35.434,90,0.161,24,0.0,1,0.9924,0,PZ16b,27,Chen,25.95829962541881
Chen,7,16.367,29,49.185,29,0.333,27,0.0,24,-1.0,15,0.446,29,1.13,17,27.137,84,0.113,30,0.0,1,0.9921,0,PZ16b,27,Chen,26.03234195395545
Chen,9,16.285,28,40.288,25,0.404,25,0.0,24,0.0,12,0.538,24,0.0,1,33.319,87,0.134,28,0.0,1,0.9911,0,PZ16b,27,Chen,27.287632327485003
Chen,8,15.745,26,47.317,28,0.333,27,0.0,24,-1.0,15,0.463,27,0.0,1,34.291,89,0.136,27,0.0,1,0.9808,0,PZ16b,27,Chen,27.420028001246546
Chen,10,15.708,25,47.176,27,0.333,27,0.0,24,-1.0,15,0.462,28,0.0,1,37.301,91,0.137,26,0.0,1,0.9798,0,PZ16b,27,Chen,27.76642142810323
Chen,6,15.547,24,37.583,24,0.414,24,-1.0,30,0.0,12,0.528,25,1.13,17,37.914,92,0.119,29,0.0,1,0.975,0,PZ16b,27,Chen,28.119228168124515
Chen,3,7.276,23,11.706,22,0.622,15,0.772,22,-1.0,15,0.646,15,2.27,20,24.799,78,0.236,19,0.0,1,0.004204,0,PZ16b,27,Chen,26.41036413467821
Chen,2,7.2,22,12.2,23,0.59,22,0.833,12,-1.0,15,0.578,23,0.0,1,26.118,82,0.221,23,0.0,1,0.003711,0,PZ16b,27,Chen,26.103621984276515
Lee,10,4.876,21,8.359,21,0.583,23,0.775,13,-1.0,15,0.59,22,0.0,1,18.488,57,0.238,18,0.0,1,3.617e-05,0,PZ16b,27,Lee,27.91622596924335
Lee,5,4.708,20,7.263,20,0.648,12,0.775,13,-1.0,15,0.688,12,0.0,1,16.39,40,0.26,11,0.0,1,2.432e-05,0,PZ16b,27,Lee,28.330917164703482
Szachniuk,5,1.682,6,1.883,6,0.893,5,0.913,5,1.0,1,0.865,9,10.22,26,17.29,50,0.314,10,0.0,1,4.656e-09,0,PZ16b,27,Szachniuk,27.80846369852427
Szachniuk,7,1.614,5,1.715,3,0.941,1,1.0,1,1.0,1,0.913,2,9.08,24,13.572,16,0.337,9,0.0,1,3.72e-09,0,PZ16b,27,Szachniuk,28.3396882904726
Szachniuk,3,1.607,4,1.837,5,0.875,9,0.913,5,0.775,6,0.886,7,7.95,21,12.187,6,0.499,2,0.0,1,3.634e-09,0,PZ16b,27,Szachniuk,27.191280466101805
Szachniuk,4,1.543,3,1.76,4,0.877,8,0.913,5,0.775,6,0.889,5,11.35,27,16.128,38,0.461,4,0.0,1,2.939e-09,0,PZ16b,27,Szachniuk,25.83739771794606
Chen,1,1.324,2,1.43,2,0.925,2,1.0,1,0.775,6,0.936,1,0.0,1,14.102,23,0.477,3,0.0,1,1.406e-09,0,PZ16b,27,Chen,27.59361046138157
Szachniuk,1,1.25,1,1.375,1,0.91,3,1.0,1,0.775,6,0.913,2,7.95,21,11.564,2,0.511,1,0.0,1,1.096e-09,0,PZ16b,27,Szachniuk,25.74754996102501
Szachniuk,2,1.698,7,1.901,7,0.893,5,1.0,1,0.775,6,0.889,5,11.35,27,17.301,52,0.395,8,0.0,1,4.901e-09,0,PZ16b,27,Szachniuk,26.593890687281053
Szachniuk,8,1.712,8,1.92,8,0.892,7,0.913,5,0.894,3,0.886,7,9.08,24,15.341,30,0.418,7,0.0,1,5.128e-09,0,PZ16b,27,Szachniuk,28.137532319384487
Szachniuk,6,1.812,9,1.995,9,0.908,4,0.913,5,0.894,3,0.91,4,7.95,21,13.461,14,0.453,5,0.0,1,7.099e-09,0,PZ16b,27,Szachniuk,27.832953403121095
Xiao,4,14.791,16,20.596,10,0.718,6,0.819,21,-1.0,1,0.685,4,8.65,17,36.01,34,0.037,19,0.0,1,4.891e-12,0,PZ30,86,Xiao,85.60982864540601
Ding,5,14.635,15,23.474,19,0.623,32,0.825,17,-1.0,1,0.534,34,12.61,29,25.611,10,0.045,3,0.0,1,2.66e-12,0,PZ30,86,Ding,86.42755013461796
Bujnicki,4,14.59,14,20.693,11,0.705,7,0.84,10,-1.0,1,0.65,9,131.12,31,26.363,13,0.037,19,0.0,1,2.23e-12,0,PZ30,86,Bujnicki,87.09286584414558
Ding,1,14.444,13,21.518,16,0.671,21,0.798,25,-1.0,1,0.623,16,10.09,22,23.844,2,0.045,3,0.0,1,1.257e-12,0,PZ30,86,Ding,84.66386019240926
Ding,2,14.212,12,21.455,14,0.662,24,0.825,17,-1.0,1,0.591,22,12.25,27,23.996,4,0.049,2,0.0,1,4.955e-13,0,PZ30,86,Ding,86.68444600196041
Chen,10,14.079,11,21.696,17,0.649,29,0.837,12,-1.0,1,0.572,28,0.36,6,30.218,28,0.031,33,0.0,1,2.887e-13,0,PZ30,86,Chen,85.63296306131525
Ding,3,12.813,7,19.477,7,0.658,27,0.829,16,-1.0,1,0.584,25,10.45,23,24.181,5,0.051,1,0.0,1,1.277e-15,0,PZ30,86,Ding,86.37068781614695
Ding,6,13.307,9,21.1,12,0.631,31,0.802,23,-1.0,1,0.557,33,11.17,26,25.813,11,0.041,8,0.0,1,1.138e-14,0,PZ30,86,Ding,85.93869878573585
Ding,7,13.082,8,20.401,9,0.641,30,0.825,17,-1.0,1,0.561,32,8.65,17,24.293,7,0.039,16,0.0,1,4.274e-15,0,PZ30,86,Ding,87.31121715380553
Ding,8,12.566,6,18.244,5,0.689,12,0.825,17,-1.0,1,0.629,15,10.45,23,26.606,15,0.044,5,0.0,1,4.441e-16,0,PZ30,86,Ding,87.31664002563218
Szachniuk,3,12.318,5,16.561,4,0.744,1,0.851,8,-1.0,1,0.699,2,9.73,20,29.523,25,0.037,19,0.0,1,1.11e-16,0,PZ30,86,Szachniuk,85.15755508321602
Ding,4,12.286,4,18.548,6,0.662,24,0.798,25,-1.0,1,0.603,19,7.2,14,25.056,8,0.041,8,0.0,1,1.11e-16,0,PZ30,86,Ding,85.17223801538617
Szachniuk,1,14.874,17,21.468,15,0.693,10,0.851,8,-1.0,1,0.623,16,12.25,27,27.284,17,0.04,12,0.0,1,6.718e-12,0,PZ30,86,Szachniuk,85.48377215341033
Chen,2,13.828,10,20.057,8,0.689,12,0.813,22,-1.0,1,0.636,14,0.0,1,27.181,16,0.032,32,0.0,1,1.029e-13,0,PZ30,86,Chen,86.11938149506669
Bujnicki,2,15.096,18,22.026,18,0.685,14,0.786,29,-1.0,1,0.643,12,151.71,34,23.895,3,0.043,6,0.0,1,1.566e-11,0,PZ30,86,Bujnicki,85.6320854377118
Szachniuk,5,18.423,30,27.452,29,0.671,21,0.882,4,-1.0,1,0.58,27,8.29,16,29.049,23,0.034,26,0.0,1,8.255e-07,0,PZ30,86,Szachniuk,85.6392754853973
Chen,5,16.059,20,23.488,20,0.684,15,0.905,1,-1.0,1,0.584,25,0.0,1,29.807,27,0.033,30,0.0,1,5.118e-10,0,PZ30,86,Chen,85.70209451510901
Chen,4,9.606,3,13.294,3,0.723,4,0.873,5,-1.0,1,0.656,6,1.08,9,29.404,24,0.041,8,0.0,1,0.0,0,PZ30,86,Chen,86.95122392834719
Chen,1,5.021,1,7.483,1,0.671,21,0.84,10,-1.0,1,0.597,20,0.36,6,34.781,32,0.043,6,0.0,1,0.0,0,PZ30,86,Chen,85.52200610522934
Nithin,1,27.266,34,67.573,34,0.404,34,0.0,34,-1.0,1,0.568,30,1.45,11,22.017,1,0.034,26,0.0,1,0.5479,0,PZ30,86,LCBio,85.00960898541226
Xiao,3,20.212,33,29.011,31,0.697,8,0.837,12,-1.0,1,0.655,8,9.38,19,32.025,30,0.038,17,0.0,1,7.288e-05,0,PZ30,86,Xiao,86.61094875332391
Chen,8,19.53,32,29.973,32,0.652,28,0.837,12,-1.0,1,0.569,29,0.72,8,29.716,26,0.035,24,0.0,1,1.477e-05,0,PZ30,86,Chen,86.69312181703155
Xiao,2,19.083,31,28.25,30,0.676,19,0.857,6,-1.0,1,0.611,18,6.48,13,34.573,31,0.041,8,0.0,1,4.811e-06,0,PZ30,86,Xiao,85.16193568495653
Xiao,1,15.595,19,21.377,13,0.73,2,0.856,7,-1.0,1,0.691,3,9.73,20,28.15,21,0.04,12,0.0,1,9.894e-11,0,PZ30,86,Xiao,86.61159704889972
Bujnicki,5,18.261,29,25.306,25,0.722,5,0.837,12,-1.0,1,0.673,5,120.27,30,25.251,9,0.04,12,0.0,1,5.249e-07,0,PZ30,86,Bujnicki,85.41586642395697
Bujnicki,1,17.994,27,25.817,27,0.697,8,0.798,25,-1.0,1,0.656,6,135.82,33,25.897,12,0.029,34,0.0,1,2.448e-07,0,PZ30,86,Bujnicki,86.22572750604799
Bujnicki,3,17.536,26,25.911,28,0.677,18,0.772,30,-1.0,1,0.638,13,131.48,32,24.272,6,0.04,12,0.0,1,6.282e-08,0,PZ30,86,Bujnicki,85.21818283618249
Szachniuk,2,17.004,24,23.496,21,0.724,3,0.742,31,-1.0,1,0.72,1,10.81,25,27.647,19,0.034,26,0.0,1,1.199e-08,0,PZ30,86,Szachniuk,87.121420191562
Chen,7,16.624,23,24.39,24,0.682,17,0.891,2,-1.0,1,0.59,23,1.44,10,31.922,29,0.034,26,0.0,1,3.489e-09,0,PZ30,86,Chen,87.0924998806456
Chen,3,16.613,22,24.012,23,0.692,11,0.802,23,-1.0,1,0.645,11,0.0,1,27.785,20,0.033,30,0.0,1,3.359e-09,0,PZ30,86,Chen,86.09981815112235
